c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
1317822057,4952.606970340333,1058.0942247786322,194,243,21.36438912102735,79.83539094650206,0.0
939510347,5218.497988546025,512.0157132067399,173,243,9.8115533306816,71.19341563786008,0.2008032128514056
1732727321,4356.084898488121,415.63342413106767,232,243,9.5414445268347,95.4732510288066,0.4016064257028112
441066515,5292.925994916614,363.8796915463434,175,243,6.874830517105615,72.0164609053498,0.6024096385542169
298243910,5059.740587871701,310.74814176879977,114,243,6.14158248574382,46.913580246913575,0.8032128514056224
1926768907,4905.207033498866,299.3272782940063,108,243,6.102235364375584,44.44444444444444,1.0040160642570282
2084803628,5295.803055591901,321.25587362107365,163,243,6.066235285729816,67.07818930041152,1.2048192771084338
1625233287,5200.180455164747,260.27016239540325,147,243,5.005021741830258,60.49382716049383,1.4056224899598393
1889457001,5957.062467068204,292.9025870535281,48,243,4.916896350722364,19.753086419753085,1.6064257028112447
735922253,3236.389100700125,124.62633096831904,125,243,3.850783298626199,51.440329218107,1.8072289156626504
945970002,3852.224947392031,137.76879998551578,79,243,3.5763435901837908,32.510288065843625,2.0080321285140563
217453952,3672.9079081311775,130.72183036560287,101,243,3.559082711445269,41.56378600823045,2.208835341365462
1909120217,4407.03980203104,136.26882880864173,109,243,3.0920716610238133,44.8559670781893,2.4096385542168677
1295562498,3002.9026169723943,88.9248216829153,111,243,2.961295553852214,45.67901234567901,2.610441767068273
1817947752,3498.05703730423,102.34782684239669,114,243,2.925847856422341,46.913580246913575,2.8112449799196786
690649773,4764.082734084193,139.22476340614247,148,243,2.922383408878936,60.90534979423868,3.0120481927710845
584950181,4832.862602951142,140.90920636503657,86,243,2.9156468524263794,35.390946502057616,3.2128514056224895
1782897736,5470.766040406049,153.44179440307377,79,243,2.804758844918272,32.510288065843625,3.413654618473896
1033215718,5313.52926655719,129.1462615068408,90,243,2.4305175529882592,37.03703703703704,3.614457831325301
1288089120,5416.025456163813,125.86185073825096,98,243,2.323878492760987,40.32921810699588,3.815261044176707
920514420,5574.583510489754,129.3723313698752,90,243,2.3207533105645277,37.03703703703704,4.016064257028113
824725118,5036.434023050662,110.41931623677633,76,243,2.192410656655307,31.27572016460905,4.216867469879518
1489730840,2773.956907247064,57.63100116182796,105,243,2.077573772370612,43.20987654320987,4.417670682730924
1905319041,3608.197000409476,70.1253977730628,93,243,1.9435024685488245,38.2716049382716,4.618473895582329
1105174553,5772.061909646775,110.42146573928412,82,243,1.913033288065364,33.744855967078195,4.819277108433735
915410219,5445.952418590074,98.28642097178952,88,243,1.8047609199867984,36.21399176954733,5.020080321285141
1038443096,4828.605063958959,86.53725711338323,95,243,1.7921792312090976,39.09465020576132,5.220883534136546
2058862155,5139.775484708001,92.04722101962604,82,243,1.7908801910411731,33.744855967078195,5.421686746987952
1839636160,5650.2355211277145,98.41258152649928,95,243,1.7417429974115022,39.09465020576132,5.622489959839357
35889201,6529.161674424986,111.04985501989135,93,243,1.7008286906859502,38.2716049382716,5.8232931726907635
